nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Zakątek Seniora Plebanka,REKOMENDACJA KIDO,Powiat aleksandrowski,"Plebanka 1,
									87-731
									Waganiec","dla osób niepełnosprawnych, przewlekle chorych lub osób w podeszłym wieku (Prywatny)",19,2555/KR - 2021,1
Sanos Zabełków,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat raciborski,"Słoneczna 4A,
									47-460
									Zabełków","osoby niepełnosprawne, przewlekle chore lub osoby w podeszłym wieku (Prywatny)",102,1210/KR - 2021,1
Prywatny Dom Słoneczko,REKOMENDACJA KIDO,Gdańsk,"Bysewska 5a,
									80-287
									Gdańsk","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",35,757/KR - 2021,1
Dom Seniora Serce Florencji,REKOMENDACJA KIDO,Powiat łódzki,"ul. Wiośniana 34/36 ,
									93-228
									Łódź","placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",47,28327/KR - 2026,1
Dom Seniora Bursztyn,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat nowodworski,"Gdańska 4,
									82-103
									Jantar","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",11,2871/KR - 2021,1
Dom Seniora Aqua Rezydencja Polkowice,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat polkopwicki,"ul. Młyńska 6,
									59-100
									Polkowice","Dla osób starszych, osób przewlekle chorych lub niepełnosprawnych (Prywatny)",96,28068/KR - 2026,1
Dom Opieki im. Św. Jadwigi,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat wołowski,"Aleje Jerozolimskie 24,
									56-120
									Brzeg Dolny",Działalność gospodarcza (Prywatny),101,1105/KR - 2021,1
Dobry Dom Centrum Opiekuńczo-Rehabilitacyjne Borzęcin Duży,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat warszawski zachodni,"Kosmowska 38,
									05-083
									Borzęcin Duży","Dla osób w podeszłym wieku, niepełnosprawnych (Prywatny)",49,201/KR - 2021,1
Centrum Origin Otwock,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat otwocki,"ul. Bernardyńska 13,
									05-400
									Otwock",Całodobowa Opieka Długoterminowa (Zakład Opiekuńczo - Leczniczy),29,26309/KR - 2022,1
Prywatny Dom Opieki dla Seniora „Ostoja Seniora”,REKOMENDACJA KIDO,Powiat łódzki,"ul. Romanowska 55N,
									91-174
									Łódź","placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",80,28056/KR - 2025,2
"Bonifraterskie Centrum Medyczne Warszawa, Dom Geriatryczno-Rehabilitacyjny Bonifratrów pw. NMP Królowej Pokoju",REKOMENDACJA KIDO,Warszawa,"Sapieżyńska 3,
									00-215
									Warszawa","dla osób w podeszłym wieku niepełnosprawnych, przewlekle chorych (Prywatny)",80,162/KR - 2021,2
Zakład Opiekuńczo- Leczniczy Caritas Diecezji Legniciej,REKOMENDACJA KIDO,Powiat legnicki,"ul. Poselska 14-16,
									59-220
									Legnica",Opieka Długoterminowa Dla Przewlekle Chorych (Zakład Opiekuńczo - Leczniczy),40,2729/KR - 2021,2
Dom Pomocy Społecznej Polanki,REKOMENDACJA KIDO,Gdańsk,"Polanki 121,
									80-308
									Gdańsk","38 dla osób w podeszłym wieku, 66 dla osób przewlekle somatycznie chorych (Publiczny)",104,670/KR - 2021,2
Pensjonacik Pod Dębami – Dom Seniora Kania,"REKOMENDACJA KIDO, WIRTUALNY SPACER, ZAREJESTROWANO W KIDO",Powiat stargardzki,"Kania 60,
									73-120
									Chociwel","dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",30,47/KR - 2021,2
Dom Seniora Magnolia w Jaworze,"REKOMENDACJA KIDO, WIRTUALNY SPACER, ZAREJESTROWANO W KIDO",Powiat jaworski,"Kuziennicza 14B,
									59-400
									Jawor","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",60,28298/KR - 2026,2
Dom Opieki Serduszko Brzeziny,"REKOMENDACJA KIDO, WIRTUALNY SPACER",Powiat brzeziński,"Sienkiewicza 87,
									95-060
									Brzeziny","Placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",23,35/KR - 2021,2
Centrum Rehabilitacyjno – Opiekuńcze Dom Pomocy Społecznej Łódź Przybyszewskiego,REKOMENDACJA KIDO,Łódź,"Stanisława Przybyszewskiego 255/267,
									92-338
									Łódź",dla osób przewlekle somatycznie chorych (Publiczny),596,1161/KR - 2021,2
Rodzinny Dom Seniora Słoneczna Jesień,REKOMENDACJA KIDO,Powiat oświęcimski,"Słowiańska 13,
									32-620
									Brzeszcze","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",12,2497/KR - 2021,2
Ośrodek Alzheimerowski w Ścinawie,REKOMENDACJA KIDO,Powiat lubiński,"Jana Pawła II nr.12,
									59-330
									Ścinawa",Ośrodek Badawczo-Naukowo-Dydaktyczny Chorób Otępiennych (w tym choroba Alzheimera) (Prywatna/Publiczna),77(Publiczne)<br />27(Prywatne),2681/KR - 2021,3
Dom Seniora Pogodna Jesień,REKOMENDACJA KIDO,Powiat międzyrzecki,"Rokitno 60,
									66-340
									Przytoczna",dla osób w podeszłym wieku (Prywatny),75,01/KR - 2021,3
