nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Powiatowy Dom Pomocy Społecznej w Ostrowinie z Filią w Jemielnej,REKOMENDACJA KIDO,Powiat oleśnicki,"Ostrowina 21,
									56-400
									Ostrowina",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),305,03/KR - 2021,4
Dom Pomocy Społecznej Pakówka,REKOMENDACJA KIDO,Powiat rawicki,"Pakówka 42,
									63-940
									Bojanowo",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),170,425/KR - 2021,4
Powiatowy Dom Pomocy Społecznej,REKOMENDACJA KIDO,Powiat oleśnicki,"Ostrowina 21,
									56-400
									Oleśnica",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),305,2622/KR - 2021,14
Dom Pomocy Społecznej Łódź Spadkowa,REKOMENDACJA KIDO,Łódź,"Spadkowa 4/6,
									91-232
									Łódź",dla dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),178,1158/KR - 2021,21
Dom Pomocy Społecznej Junior,REKOMENDACJA KIDO,Powiat jeleniogórski,"Miłków 138,
									58-535
									Podgórzyn",dla dzieci i młodzieży niepełnosprawnych intelektualnie (36 miejsc) oraz dla dorosłych niepełnosprawnych intelektualnie (66 miejsc) (Publiczny),102,2660/KR - 2021,27
Dom Pomocy Społecznej Resko,,Powiat łobeski,"ul. Wojska Polskiego 40  ,
									73-310 
									Resko",dla osób dorosłych niepełnosprawnych intelektualnie oraz osób przewlekle psychicznie chorych (Publiczny),140,65/KR - 2021,47
Dom Pomocy Społecznej Nowe Bielice,,Powiat koszaliński,"Nowe Bielice 1-3,
									76-039
									Biesiekierz",dla dzieci i młodzieży i dorosłych niepełnosprawnych intelektualnie (Publiczny),142,68/KR - 2021,47
Dom Pomocy Społecznej Bobolice,,Powiat koszaliński,"Pionierów 3,
									76-020
									Bobolice",dla dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),65,70/KR - 2021,48
Dom Pomocy Społecznej Modrzewiec,,Powiat świdwiński,"Modrzewiec 8,
									78-331
									Rąbino",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),90,75/KR - 2021,48
Dom Pomocy Społecznej Jaromin,,Powiat gryficki,"Jaromin k/Trzebiatowa,
									72-320 
									Jaromin",dla osób przewlekle psychicznie chorych oraz osób dorosłych niepełnosprawnych intelektualnie (Publiczny),345,83/KR - 2021,49
