nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Powiatowy Dom Pomocy Społecznej w Czarnowie,REKOMENDACJA KIDO,Powiat gostyniński,"Czarnów 5,
									09-541
									Pacyna",dla osób przewlekle psychicznie chorych (Publiczny),250,252/KR - 2021,13
Dom Pomocy Społecznej Zgromadzenia Sióstr Służebniczek NMP Łódź Kosynierów Gdyńskich,REKOMENDACJA KIDO,Łódź,"Kosynierów Gdyńskich 20,
									93-357
									Łódź",dla osób przewlekle psychicznie chorych (Publiczny),100,1142/KR - 2021,13
Dom Pomocy Społecznej Lubliniec z filią Koszęcin,REKOMENDACJA KIDO,Powiat lubliniecki,"Kochcicka 14,
									42-700
									Lubliniec Dąbrówki 1,
									42-286
									Koszęcin",osoby przewlekle psychicznie chore osoby przewlekle psychicznie chore (Publiczny),278,2410/KR - 2021,14
Dom Pomocy Społecznej w Kurowie,REKOMENDACJA KIDO,Powiat włocławski,"Kurowo Parcele 44,
									87-821
									Baruchowo",dla osób przewlekle psychicznie chorych (Publiczny),60,2584/KR - 2021,14
Dom Pomocy Społecznej – Ewangelicki Dom Opieki BETEZDA Ukta,REKOMENDACJA KIDO,Powiat piski,"Ukta 31,
									12-220
									Ruciane Nida",dla osób przewlekle psychicznie chorych (Publiczny),40,557/KR - 2021,17
Dom Pomocy Społecznej pw. św. Franciszka z Asyżu Caritas Diecezji Łomżyńskiej,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat białostocki,"ul. Klasztorna 1 ,
									16-080
									Tykocin",dla osób przewlekle psychicznie chorych - kobiety (Publiczny),56,813/KR - 2021,18
Dom Pomocy Społecznej Spokojna Przystań w Garbarach,REKOMENDACJA KIDO,Powiat białostocki,"Garbary 1,
									16-050
									Michałowo",dla osób przewlekle psychicznie chorych (Publiczny),200,816/KR - 2021,18
Dom Pomocy Społecznej w Wąbrzeźnie,REKOMENDACJA KIDO,Powiat wąbrzeski,"Pod Młynik 4a,
									87-200
									Wąbrzeźno",dla osób przewlekle psychicznie chorych (Publiczny),75,2580/KR - 2021,26
Dom Pomocy Społecznej dla Dorosłych we Wrocławiu,REKOMENDACJA KIDO,Wrocław,"Farna 3,
									51-313
									Wrocław",dla osób przewlekle psychicznie chorych (Publiczny),101,2647/KR - 2021,27
Dom Pomocy Społecznej Zielone Wzgórze,,Powiat dzierżoniowski,"Rościszów 84,
									58-250
									Pieszyce",dla osób przewlekle psychicznie chorych (Publiczny),45,2655/KR - 2021,37
